"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"178","Groundnut","T1",0.1,0.5,"ICGV03398",16.6646535299951,0
"179","Groundnut","T1",0.1,0.5,"ICGV04018",12.1037476259564,0
"180","Groundnut","T1",0.1,0.5,"ICGV04044",17.2771123624821,0
"181","Groundnut","T1",0.1,0.5,"ICGV04087",20.1026400976743,20.1026400976743
"182","Groundnut","T1",0.1,0.5,"ICGV04115",13.2297505428184,0
"183","Groundnut","T1",0.1,0.5,"ICGV04124",15.1762193894167,0
"184","Groundnut","T1",0.1,0.5,"ICGV04149",16.5205645483465,16.5205645483465
"185","Groundnut","T1",0.1,0.5,"ICGV05032",15.8069327402987,0
"186","Groundnut","T1",0.1,0.5,"ICGV05036",17.1393792247199,0
"187","Groundnut","T1",0.1,0.5,"ICGV05057",14.1395090531801,0
"188","Groundnut","T1",0.1,0.5,"ICGV05100",17.0505268664091,0
"189","Groundnut","T1",0.1,0.5,"ICGV05141",15.7132492922921,0
"190","Groundnut","T1",0.1,0.5,"ICGV05155",20.4714879037984,20.4714879037984
"191","Groundnut","T1",0.1,0.5,"ICGV05161",14.8261916907076,0
"192","Groundnut","T1",0.1,0.5,"ICGV05163",21.018391202756,21.018391202756
"193","Groundnut","T1",0.1,0.5,"ICGV05176",8.82745393148086,0
"194","Groundnut","T1",0.1,0.5,"ICGV05198",11.001400144602,0
"195","Groundnut","T1",0.1,0.5,"ICGV06040",15.8347152289595,0
"196","Groundnut","T1",0.1,0.5,"ICGV06042",17.3512773354972,0
"197","Groundnut","T1",0.1,0.5,"ICGV06049",12.6285665718835,0
"198","Groundnut","T1",0.1,0.5,"ICGV06099",19.7629070641766,19.7629070641766
"199","Groundnut","T1",0.1,0.5,"ICGV06110",10.224360354793,0
"200","Groundnut","T1",0.1,0.5,"ICGV06142",19.8731983521078,0
"201","Groundnut","T1",0.1,0.5,"ICGV06175",14.033434511178,0
"202","Groundnut","T1",0.1,0.5,"ICGV06188",10.0128989892513,0
"203","Groundnut","T1",0.1,0.5,"ICGV06234",11.0553459684115,0
