"","Data","Env","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"211","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1307",539,0
"212","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1308",539,0
"213","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1309",539,0
"214","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1310",539,0
"215","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1311",597,0
"216","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1312",597,0
"217","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1313",627,0
"218","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1314",627,0
"219","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1315",594,0
"220","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1316",594,0
"221","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1317",83,0
"222","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1318",83,0
"223","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1319",83,0
"224","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1320",83,0
"225","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1321",570,0
"226","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1322",570,0
"227","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1331",627,0
"228","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1332",627,0
"229","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1337",570,0
"230","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1338",570,0
"231","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1339",627,0
"232","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1340",627,0
"233","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1345",518,0
"234","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1346",518,0
"235","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1351",622,0
"236","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1354",499,0
"237","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1355",499,0
"238","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1356",499,0
"239","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1357",499,0
"240","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1360",597,0
"241","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1361",597,0
"242","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1362",660,660
"243","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1363",660,660
"244","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1364",518,0
"245","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1365",518,0
"246","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1366",559,0
"247","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1367",559,0
"248","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1368",568,0
"249","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1369",568,0
"250","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1375",599,0
"251","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1376",622,0
"252","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1377",622,0
"253","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1382",660,660
"254","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1383",657,657
"255","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1384",657,0
"256","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1385",499,0
"257","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1386",499,0
"258","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1387",499,0
"259","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1392",612,0
"260","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1393",612,0
"261","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1394",657,0
"262","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1395",657,0
"263","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1396",657,657
"264","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"18088",657,657
"265","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1002",622,0
"266","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1007",622,0
"267","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1008",622,0
"268","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1009",570,0
"269","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1010",570,0
"270","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1011",570,0
"271","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1012",570,0
"272","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1013",612,0
"273","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1014",612,0
"274","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1015",518,0
"275","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1016",518,0
"276","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1017",657,657
"277","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1018",657,657
"278","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1019",622,0
"279","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1022",539,0
"280","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1023",539,0
"281","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1032",660,660
"282","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1036",599,0
"283","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1037",599,0
"284","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1038",599,0
"285","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1039",599,0
"286","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1040",518,0
"287","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1041",518,0
"288","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1042",539,0
"289","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1043",539,0
"290","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1044",499,0
"291","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1045",499,0
"292","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1046",499,0
"293","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1047",499,0
"294","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1054",499,0
"295","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1055",499,0
"296","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1056",499,0
"297","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1057",657,0
"298","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1058",657,657
"299","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1059",657,657
"300","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1060",657,657
"301","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1061",657,657
"302","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1062",657,657
"303","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1063",657,657
"304","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1064",657,657
"305","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1065",627,0
"306","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1066",627,0
"307","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1070",599,0
"308","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1071",599,0
"309","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1072",597,0
"310","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1073",597,0
"311","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1074",599,0
"312","Eucalyptus_Australian_Calister_2022","11","T1",0.2,1,"1075",599,0
