"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"301","Rice_Kim_2020","T1",0.1,1.5,"M1353",3580.66666666667,0
"302","Rice_Kim_2020","T1",0.1,1.5,"M1354",3545,0
"303","Rice_Kim_2020","T1",0.1,1.5,"M1356",3854.66666666667,0
"304","Rice_Kim_2020","T1",0.1,1.5,"M1357",3498,0
"305","Rice_Kim_2020","T1",0.1,1.5,"M1358",3476,0
"306","Rice_Kim_2020","T1",0.1,1.5,"M1359",3393.33333333333,0
"307","Rice_Kim_2020","T1",0.1,1.5,"M1360",3484.33333333333,0
"308","Rice_Kim_2020","T1",0.1,1.5,"M1361",3684.66666666667,0
"309","Rice_Kim_2020","T1",0.1,1.5,"M1362",3427.33333333333,0
"310","Rice_Kim_2020","T1",0.1,1.5,"M1363",3555,0
"311","Rice_Kim_2020","T1",0.1,1.5,"M1364",3435.33333333333,0
"312","Rice_Kim_2020","T1",0.1,1.5,"M1365",3622.66666666667,0
"313","Rice_Kim_2020","T1",0.1,1.5,"M1366",3461.33333333333,0
"314","Rice_Kim_2020","T1",0.1,1.5,"M1367",3344,0
"315","Rice_Kim_2020","T1",0.1,1.5,"M1368",3618.66666666667,0
"316","Rice_Kim_2020","T1",0.1,1.5,"M1463",3451.66666666667,0
"317","Rice_Kim_2020","T1",0.1,1.5,"M1464",3561,0
"318","Rice_Kim_2020","T1",0.1,1.5,"M1465",3195.33333333333,0
"319","Rice_Kim_2020","T1",0.1,1.5,"M1467",3429,0
"320","Rice_Kim_2020","T1",0.1,1.5,"M1469",3485.33333333333,0
"321","Rice_Kim_2020","T1",0.1,1.5,"M1471",3415.33333333333,0
"322","Rice_Kim_2020","T1",0.1,2,"A1257",3457.33333333333,0
"323","Rice_Kim_2020","T1",0.1,2,"A1258",3911,0
"324","Rice_Kim_2020","T1",0.1,2,"A1259",3836,0
"325","Rice_Kim_2020","T1",0.1,2,"A1260",3611.66666666667,0
"326","Rice_Kim_2020","T1",0.1,2,"A1261",4085,4085
"327","Rice_Kim_2020","T1",0.1,2,"A1262",4449.33333333333,4449.33333333333
"328","Rice_Kim_2020","T1",0.1,2,"A1263",3872.66666666667,0
"329","Rice_Kim_2020","T1",0.1,2,"A1264",3700.33333333333,0
"330","Rice_Kim_2020","T1",0.1,2,"A1265",3565.66666666667,0
"331","Rice_Kim_2020","T1",0.1,2,"A1267",3408,0
"332","Rice_Kim_2020","T1",0.1,2,"A1268",3435,0
"333","Rice_Kim_2020","T1",0.1,2,"A1269",3767,0
"334","Rice_Kim_2020","T1",0.1,2,"A1270",3720,0
"335","Rice_Kim_2020","T1",0.1,2,"A1272",3919.33333333333,0
"336","Rice_Kim_2020","T1",0.1,2,"A1273",3866.66666666667,0
"337","Rice_Kim_2020","T1",0.1,2,"A1274",4029,4029
"338","Rice_Kim_2020","T1",0.1,2,"A1275",3743.33333333333,0
"339","Rice_Kim_2020","T1",0.1,2,"A1276",3750.66666666667,0
"340","Rice_Kim_2020","T1",0.1,2,"A1277",3715.66666666667,0
"341","Rice_Kim_2020","T1",0.1,2,"A1279",3714.33333333333,0
"342","Rice_Kim_2020","T1",0.1,2,"A1302",3913.66666666667,0
"343","Rice_Kim_2020","T1",0.1,2,"A1304",4162.33333333333,4162.33333333333
"344","Rice_Kim_2020","T1",0.1,2,"A1307",3955.66666666667,3955.66666666667
"345","Rice_Kim_2020","T1",0.1,2,"A1309",3821.66666666667,0
"346","Rice_Kim_2020","T1",0.1,2,"A1310",3826,0
"347","Rice_Kim_2020","T1",0.1,2,"A1311",3748,0
"348","Rice_Kim_2020","T1",0.1,2,"A1312",3824.66666666667,0
"349","Rice_Kim_2020","T1",0.1,2,"A1313",3705.33333333333,0
