"","Data","Trait","Top_percentage_to_select","K_Value","PM","TBV_QP","TBV_Trad","Mean_BV_QP","Mean_BV_Trad","Var_Opt_QP","Var_Trad","Expected_Loss_QP","Expected_Loss_Trad","Ratio_QP","Ratio_Trad","Av_Rel_QP","Ave_Rel_Trad"
"27","Rice_Kim_2020","T1",0.1,1.5,100,33095.6666666666,33095.6666666666,3008.69696969697,3008.69696969697,304.47444,304.47444,32791.1922266667,32791.1922266667,108.697684661697,108.697684661697,1.64529963636364,1.68076981818182
"28","Rice_Kim_2020","T1",0.1,2,100,33095.6666666666,33095.6666666666,3008.69696969697,3008.69696969697,405.96592,405.96592,32689.7007466667,32689.7007466667,81.5232634962724,81.5232634962724,1.64529963636364,1.68076981818182
"29","Rice_Kim_2020","T1",0.2,0.5,100,61533,61533,2930.14285714286,2930.14285714286,366.87895,366.87895,61166.12105,61166.12105,167.720170372271,167.720170372271,1.64704261904762,1.68857233333333
"30","Rice_Kim_2020","T1",0.2,1,100,61533,61533,2930.14285714286,2930.14285714286,733.7579,733.7579,60799.2421,60799.2421,83.8600851861356,83.8600851861356,1.64704261904762,1.68857233333333
"31","Rice_Kim_2020","T1",0.2,1.5,100,61533,61533,2930.14285714286,2930.14285714286,1100.63685,1100.63685,60432.36315,60432.36315,55.9067234574237,55.9067234574237,1.64704261904762,1.68857233333333
"32","Rice_Kim_2020","T1",0.2,2,100,61533,61533,2930.14285714286,2930.14285714286,1467.5158,1467.5158,60065.4842,60065.4842,41.9300425930678,41.9300425930678,1.64704261904762,1.68857233333333
"33","Rice_Kim_2020","T1",0.1,0.5,100,41818.6666666667,41818.6666666667,3801.69696969697,3801.69696969697,102.31628,102.31628,41716.3503866667,41716.3503866667,408.71957685196,408.71957685196,1.660296,1.68076981818182
"34","Rice_Kim_2020","T1",0.1,1,100,41818.6666666667,41818.6666666667,3801.69696969697,3801.69696969697,204.63256,204.63256,41614.0341066667,41614.0341066667,204.35978842598,204.35978842598,1.660296,1.68076981818182
"35","Rice_Kim_2020","T1",0.1,1.5,100,41818.6666666667,41818.6666666667,3801.69696969697,3801.69696969697,306.94884,306.94884,41511.7178266667,41511.7178266667,136.239858950653,136.239858950653,1.660296,1.68076981818182
"36","Rice_Kim_2020","T1",0.1,2,100,41818.6666666667,41818.6666666667,3801.69696969697,3801.69696969697,409.26512,409.26512,41409.4015466667,41409.4015466667,102.17989421299,102.17989421299,1.660296,1.68076981818182
"37","Rice_Kim_2020","T1",0.2,0.5,100,76874.3333333333,76874.3333333333,3660.68253968254,3660.68253968254,372.73245,372.73245,76501.6008833333,76501.6008833333,206.245346583946,206.245346583946,1.67491642857143,1.68857233333333
"38","Rice_Kim_2020","T1",0.2,1,100,76874.3333333333,76874.3333333333,3660.68253968254,3660.68253968254,745.4649,745.4649,76128.8684333333,76128.8684333333,103.122673291973,103.122673291973,1.67491642857143,1.68857233333333
"39","Rice_Kim_2020","T1",0.2,1.5,100,76874.3333333333,76874.3333333333,3660.68253968254,3660.68253968254,1118.19735,1118.19735,75756.1359833333,75756.1359833333,68.7484488613153,68.7484488613153,1.67491642857143,1.68857233333333
"40","Rice_Kim_2020","T1",0.2,2,100,76874.3333333333,76874.3333333333,3660.68253968254,3660.68253968254,1490.9298,1490.9298,75383.4035333333,75383.4035333333,51.5613366459865,51.5613366459865,1.67491642857143,1.68857233333333
"41","Rice_Kim_2020","T1",0.1,0.5,100,31461.6666666667,31461.6666666667,2860.15151515152,2860.15151515152,102.19571,102.19571,31359.4709566667,31359.4709566667,307.857019308019,307.857019308019,1.65810381818182,1.68076981818182
"42","Rice_Kim_2020","T1",0.1,1,100,31461.6666666667,31461.6666666667,2860.15151515152,2860.15151515152,204.39142,204.39142,31257.2752466667,31257.2752466667,153.928509654009,153.928509654009,1.65810381818182,1.68076981818182
"43","Rice_Kim_2020","T1",0.1,1.5,100,31461.6666666667,31461.6666666667,2860.15151515152,2860.15151515152,306.58713,306.58713,31155.0795366667,31155.0795366667,102.619006436006,102.619006436006,1.65810381818182,1.68076981818182
"44","Rice_Kim_2020","T1",0.1,2,100,31461.6666666667,31461.6666666667,2860.15151515152,2860.15151515152,408.78284,408.78284,31052.8838266667,31052.8838266667,76.9642548270047,76.9642548270047,1.65810381818182,1.68076981818182
"45","Rice_Kim_2020","T1",0.2,0.5,95.2380952380952,58254,60841,2774,2897.19047619048,370.56613,406.94986,57883.43387,60434.05014,157.202710350242,149.504904609133,1.66460061904762,1.68857233333333
"46","Rice_Kim_2020","T1",0.2,1,95.2380952380952,58254,60841,2774,2897.19047619048,741.13226,813.89972,57512.86774,60027.10028,78.6013551751208,74.7524523045665,1.66460061904762,1.68857233333333
"47","Rice_Kim_2020","T1",0.2,1.5,95.2380952380952,58254,60841,2774,2897.19047619048,1111.69839,1220.84958,57142.30161,59620.15042,52.4009034500806,49.8349682030443,1.66460061904762,1.68857233333333
"48","Rice_Kim_2020","T1",0.2,2,95.2380952380952,58254,60841,2774,2897.19047619048,1482.26452,1627.79944,56771.73548,59213.20056,39.3006775875604,37.3762261522832,1.66460061904762,1.68857233333333
"49","Rice_Kim_2020","T1",0.1,0.5,100,40305.5,40305.5,3664.13636363636,3664.13636363636,101.57851,101.57851,40203.92149,40203.92149,396.791604838464,396.791604838464,1.646882,1.68076981818182
"50","Rice_Kim_2020","T1",0.1,1,100,40305.5,40305.5,3664.13636363636,3664.13636363636,203.15702,203.15702,40102.34298,40102.34298,198.395802419232,198.395802419232,1.646882,1.68076981818182
"51","Rice_Kim_2020","T1",0.1,1.5,100,40305.5,40305.5,3664.13636363636,3664.13636363636,304.73553,304.73553,40000.76447,40000.76447,132.263868279488,132.263868279488,1.646882,1.68076981818182
"52","Rice_Kim_2020","T1",0.1,2,100,40305.5,40305.5,3664.13636363636,3664.13636363636,406.31404,406.31404,39899.18596,39899.18596,99.1979012096161,99.1979012096161,1.646882,1.68076981818182
"53","Rice_Kim_2020","T1",0.2,0.5,100,74278,74278,3537.04761904762,3537.04761904762,368.82214,368.82214,73909.17786,73909.17786,201.392465213721,201.392465213721,1.6562959047619,1.68857233333333
"54","Rice_Kim_2020","T1",0.2,1,100,74278,74278,3537.04761904762,3537.04761904762,737.64428,737.64428,73540.35572,73540.35572,100.69623260686,100.69623260686,1.6562959047619,1.68857233333333
"55","Rice_Kim_2020","T1",0.2,1.5,100,74278,74278,3537.04761904762,3537.04761904762,1106.46642,1106.46642,73171.53358,73171.53358,67.1308217379069,67.1308217379069,1.6562959047619,1.68857233333333
"56","Rice_Kim_2020","T1",0.2,2,100,74278,74278,3537.04761904762,3537.04761904762,1475.28856,1475.28856,72802.71144,72802.71144,50.3481163034302,50.3481163034302,1.6562959047619,1.68857233333333
"57","Rice_Kim_2020","T1",0.1,0.5,100,36650.6666666667,36650.6666666667,3331.87878787879,3331.87878787879,100.41299,100.41299,36550.2536766667,36550.2536766667,364.999256238328,364.999256238328,1.62569072727273,1.68076981818182
"58","Rice_Kim_2020","T1",0.1,1,100,36650.6666666667,36650.6666666667,3331.87878787879,3331.87878787879,200.82598,200.82598,36449.8406866667,36449.8406866667,182.499628119164,182.499628119164,1.62569072727273,1.68076981818182
"59","Rice_Kim_2020","T1",0.1,1.5,100,36650.6666666667,36650.6666666667,3331.87878787879,3331.87878787879,301.23897,301.23897,36349.4276966667,36349.4276966667,121.666418746109,121.666418746109,1.62569072727273,1.68076981818182
"60","Rice_Kim_2020","T1",0.1,2,100,36650.6666666667,36650.6666666667,3331.87878787879,3331.87878787879,401.65196,401.65196,36249.0147066667,36249.0147066667,91.249814059582,91.249814059582,1.62569072727273,1.68076981818182
"61","Rice_Kim_2020","T1",0.2,0.5,100,68706,68706,3271.71428571429,3271.71428571429,367.62927,367.62927,68338.37073,68338.37073,186.889362753951,186.889362753951,1.65061557142857,1.68857233333333
"62","Rice_Kim_2020","T1",0.2,1,100,68706,68706,3271.71428571429,3271.71428571429,735.25854,735.25854,67970.74146,67970.74146,93.4446813769753,93.4446813769753,1.65061557142857,1.68857233333333
"63","Rice_Kim_2020","T1",0.2,1.5,100,68706,68706,3271.71428571429,3271.71428571429,1102.88781,1102.88781,67603.11219,67603.11219,62.2964542513169,62.2964542513169,1.65061557142857,1.68857233333333
"64","Rice_Kim_2020","T1",0.2,2,100,68706,68706,3271.71428571429,3271.71428571429,1470.51708,1470.51708,67235.48292,67235.48292,46.7223406884876,46.7223406884876,1.65061557142857,1.68857233333333
